Plate,Well,Cell line,Treatment,Concentration
20211209,B08,HB-282,Filanesib,1
20211209,C08,HB-282,Filanesib,10
20211209,D08,HB-282,Filanesib,100
20211209,E08,HB-282,Luminespib,1
20211209,F08,HB-282,Luminespib,10
20211209,G08,HB-282,Luminespib,100
20211209,B09,HB-282,Filanesib,1
20211209,C09,HB-282,Filanesib,10
20211209,D09,HB-282,Filanesib,100
20211209,E09,HB-282,Luminespib,1
20211209,F09,HB-282,Luminespib,10
20211209,G09,HB-282,Luminespib,100
20211209,B10,HB-282,Filanesib,1
20211209,C10,HB-282,Filanesib,10
20211209,D10,HB-282,Filanesib,100
20211209,E10,HB-282,Luminespib,1
20211209,F10,HB-282,Luminespib,10
20211209,G10,HB-282,Luminespib,100
20211209,B11,HB-282,DMSO,0
20211209,C11,HB-282,DMSO,0
20211209,D11,HB-282,DMSO,0
20211209,E11,HB-282,DMSO,0
20211209,F11,HB-282,DMSO,0
20211209,G11,HB-282,DMSO,0
20211209,B02,HB-284,Filanesib,1
20211209,C02,HB-284,Filanesib,10
20211209,D02,HB-284,Filanesib,100
20211209,E02,HB-284,Luminespib,1
20211209,F02,HB-284,Luminespib,10
20211209,G02,HB-284,Luminespib,100
20211209,B03,HB-284,Filanesib,1
20211209,C03,HB-284,Filanesib,10
20211209,D03,HB-284,Filanesib,100
20211209,E03,HB-284,Luminespib,1
20211209,F03,HB-284,Luminespib,10
20211209,G03,HB-284,Luminespib,100
20211209,B04,HB-284,Filanesib,1
20211209,C04,HB-284,Filanesib,10
20211209,D04,HB-284,Filanesib,100
20211209,E04,HB-284,Luminespib,1
20211209,F04,HB-284,Luminespib,10
20211209,G04,HB-284,Luminespib,100
20211209,B05,HB-284,DMSO,0
20211209,C05,HB-284,DMSO,0
20211209,D05,HB-284,DMSO,0
20211209,E05,HB-284,DMSO,0
20211209,F05,HB-284,DMSO,0
20211209,G05,HB-284,DMSO,0
20220401,B02,HB-243,Filanesib,1
20220401,C02,HB-243,Filanesib,10
20220401,D02,HB-243,Filanesib,100
20220401,E02,HB-243,Luminespib,1
20220401,F02,HB-243,Luminespib,10
20220401,G02,HB-243,Luminespib,100
20220401,B03,HB-243,Filanesib,1
20220401,C03,HB-243,Filanesib,10
20220401,D03,HB-243,Filanesib,100
20220401,E03,HB-243,Luminespib,1
20220401,F03,HB-243,Luminespib,10
20220401,G03,HB-243,Luminespib,100
20220401,B04,HB-243,Filanesib,1
20220401,C04,HB-243,Filanesib,10
20220401,D04,HB-243,Filanesib,100
20220401,E04,HB-243,Luminespib,1
20220401,F04,HB-243,Luminespib,10
20220401,G04,HB-243,Luminespib,100
20220401,B05,HB-243,DMSO,0
20220401,C05,HB-243,DMSO,0
20220401,D05,HB-243,DMSO,0
20220401,E05,HB-243,DMSO,0
20220401,F05,HB-243,DMSO,0
20220401,G05,HB-243,DMSO,0
20220812,B02,HB-279,Filanesib,1
20220812,C02,HB-279,Filanesib,10
20220812,D02,HB-279,Filanesib,100
20220812,E02,HB-279,Luminespib,1
20220812,F02,HB-279,Luminespib,10
20220812,G02,HB-279,Luminespib,100
20220812,B03,HB-279,Filanesib,1
20220812,C03,HB-279,Filanesib,10
20220812,D03,HB-279,Filanesib,100
20220812,E03,HB-279,Luminespib,1
20220812,F03,HB-279,Luminespib,10
20220812,G03,HB-279,Luminespib,100
20220812,B04,HB-279,Filanesib,1
20220812,C04,HB-279,Filanesib,10
20220812,D04,HB-279,Filanesib,100
20220812,E04,HB-279,Luminespib,1
20220812,F04,HB-279,Luminespib,10
20220812,G04,HB-279,Luminespib,100
20220812,B05,HB-279,Filanesib,1
20220812,C05,HB-279,Filanesib,10
20220812,D05,HB-279,Filanesib,100
20220812,E05,HB-279,Luminespib,1
20220812,F05,HB-279,Luminespib,10
20220812,G05,HB-279,Luminespib,100
20220812,B06,HB-279,Filanesib,0.1
20220812,C06,HB-279,Filanesib,0.1
20220812,D06,HB-279,Filanesib,0.1
20220812,E06,HB-279,Filanesib,0.1
20220812,F06,HB-279,Filanesib,0.1
20220812,G06,HB-279,Filanesib,0.1
20220812,B07,HB-279,DMSO,0
20220812,C07,HB-279,DMSO,0
20220812,D07,HB-279,DMSO,0
20220812,E07,HB-279,DMSO,0
20220812,F07,HB-279,DMSO,0
20220812,G07,HB-279,DMSO,0
20220812,B08,HB-279,DMSO,0
20220812,C08,HB-279,DMSO,0
20220812,D08,HB-279,DMSO,0
20220812,E08,HB-279,DMSO,0
20220812,F08,HB-279,DMSO,0
20220812,G08,HB-279,DMSO,0
